name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ddsd,-0.433209,0.330555,-1.09432,0.227901,-0.433209,0.00335327,-0.439916,-0.426503
ddsw,-0.421017,0.330555,-1.08213,0.240092,-0.421017,0.00225831,-0.425534,-0.416501
ddgd,-0.00243015,2.08055,-4.16354,4.15868,-0.00243015,1.4693,-2.94103,2.93617
ddgw,-0.830956,2.08055,-4.99207,3.33015,-0.830956,1.4693,-3.76955,2.10764
rcs1d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0137705,0.273489,0.328571
rcs1w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0330992,0.234832,0.367228
rcs2d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0129337,0.275162,0.326897
rcs2w,-1.69292,2.07526,-5.84343,2.4576,-1.69197,1.14153,-3.97502,0.591076
rcs3d,-0.0980903,2.07526,-4.24861,4.05242,-0.0980903,0.0164666,-0.131023,-0.0651572
rcs3w,-2.20213,2.07526,-6.35265,1.94838,-2.20213,1.10047,-4.40307,-0.00118917
rcs4d,-2.02575,2.07526,-6.17627,2.12476,-2.02575,0.183411,-2.39258,-1.65893
rcs4w,-2.66782,2.07526,-6.81834,1.48269,-2.66782,0.984553,-4.63693,-0.698719
rcs5d,-1.49568,2.07526,-5.64619,2.65484,-1.49568,0.10366,-1.703,-1.28836
rcs5w,-0.0556188,2.07526,-4.20613,4.0949,-0.0556188,0.00834729,-0.0723133,-0.0389242
rcs6d,-1.56658,2.07526,-5.71709,2.58394,-0.816577,0.10263,-1.02184,-0.611316
rcs6w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0135762,0.273878,0.328182
rcs7d,-2.32094,2.07526,-6.47146,1.82957,-2.32094,2.07526,-6.47146,1.82957
rcs7w,0,2.07526,-4.15051,4.15051,0,2.07526,-4.15051,4.15051
rcs8d,-0.370068,2.07526,-4.52058,3.78045,-0.370068,2.07526,-4.52058,3.78045
rcs8w,-0.0362183,2.07526,-4.18673,4.1143,-0.0362183,2.07526,-4.18673,4.1143
rcr1d,0.21017,2.07526,-3.94034,4.36069,0.21017,0.00331693,0.203536,0.216804
rcr1w,-0.150814,2.07526,-4.30133,3.9997,-0.150814,0.0212859,-0.193386,-0.108242
rcr2d,-2.70465,2.07526,-6.85517,1.44586,-2.70465,1.1526,-5.00985,-0.399453
rcr2w,-2.3955,2.07526,-6.54602,1.75501,-2.3955,1.23746,-4.87042,0.0794173
rcr3d,-3.05024,2.07526,-7.20075,1.10028,-3.05024,1.67707,-6.40438,0.303906
rcr3w,-2.37566,2.07526,-6.52617,1.77486,-2.37566,0.854179,-4.08401,-0.667297
rcr4d,-3.47458,2.07526,-7.62509,0.675937,-3.47458,1.75375,-6.98209,0.0329316
rcr4w,-2.86468,2.07526,-7.0152,1.28583,-2.86468,0.974492,-4.81367,-0.915699
rcr5d,-3.14578,2.07526,-7.29629,1.00474,-3.14578,0.833441,-4.81266,-1.4789
rcr5w,-2.82424,2.07526,-6.97475,1.32628,-2.82424,0.884825,-4.59389,-1.05459
rcr6d,-2.52685,2.07526,-6.67736,1.62367,-2.52685,1.06268,-4.65221,-0.401493
rcr6w,-2.53626,2.07526,-6.68678,1.61425,-2.53626,1.59776,-5.73179,0.659261
rcr7d,-2.07637,2.07526,-6.22689,2.07414,-2.07637,1.82086,-5.7181,1.56536
rcr7w,-1.93528,2.07526,-6.0858,2.21523,-1.93528,1.85435,-5.64399,1.77342
rcr8d,-2.20537,2.07526,-6.35588,1.94515,-2.20537,2.07526,-6.35588,1.94515
rcr8w,-1.87884,2.07526,-6.02935,2.27168,-1.87884,2.07525,-6.02935,2.27167
rcgd,-1.60258,2.07526,-5.7531,2.54793,-1.60258,1.4693,-4.54118,1.33601
rcgw,-0.15419,2.07526,-4.3047,3.99633,-0.15419,1.4693,-3.09279,2.78441
tl,0.69897,2.17474,-3.65051,5.04846,0.69897,0.000462094,0.698046,0.699894
xw,-0.0211828,2.08055,-4.18229,4.13993,-0.0211828,2.08055,-4.18229,4.13993
yw,-3.59461,2,-7.59461,0.405395,-3.59461,2,-7.59461,0.405395
x,0.0631257,2.09043,-4.11774,4.24399,0.0631257,2.09043,-4.11774,4.24399
y,-1.54562,2,-5.54562,2.45438,-1.54562,2,-5.54562,2.45438
tlr,-1.16622,2.25,-5.66622,3.33378,-1.16749,2.25,-5.66749,3.33251
tls,-0.653647,2.36928,-5.39221,4.08491,-0.653647,2.36928,-5.39221,4.08491
tcrit,-3.1261,1.32526,-5.77661,-0.475583,-3.12494,1.14992,-5.42477,-0.825107
