Runoff/Infiltration,Runoff/Infiltration from R_Cogt to Rio Cogoti,Runoff/Infiltration from R_Comb to Rio Combarbala,Runoff/Infiltration from R_ElIng_EmbR to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_QIng to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_RGrn to Qda. El Ingenio,Runoff/Infiltration from R_ElIng_RLim to Qda. El Ingenio,Runoff/Infiltration from R_Grn_RRap to Rio Grande,Runoff/Infiltration from R_GrnCy to Rio Grande,Runoff/Infiltration from R_GrnLR to Rio Grande,Runoff/Infiltration from R_GrnPSJ_CPMP to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RGrn to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RPon to Rio Grande,Runoff/Infiltration from R_GrnPSJ_RRap to Rio Grande,Runoff/Infiltration from R_GrnSJ to Rio Grande,Runoff/Infiltration from R_Guat_CCog to Rio Huatulame,Runoff/Infiltration from R_Guat_CPMS to Rio Huatulame,Runoff/Infiltration from R_Guat_EmbP to Rio Huatulame,Runoff/Infiltration from R_Guat_RGuat to Rio Huatulame,Runoff/Infiltration from R_GuatET to Rio Huatulame,Runoff/Infiltration from R_Hurt to Rio Hurtado,Runoff/Infiltration from R_HurtAEmb to Rio Hurtado,Runoff/Infiltration from R_Lim_EmbP to Rio Limari,Runoff/Infiltration from R_Lim_EmbR to Rio Limari,Runoff/Infiltration from R_Lim_RGrn to Rio Limari,Runoff/Infiltration from R_Lim_RGua to Rio Limari,Runoff/Infiltration from R_Lim_RLim to Rio Limari,Runoff/Infiltration from R_Most to Rio Mostazal,Runoff/Infiltration from R_Pama to Rio Pama,Runoff/Infiltration from R_Ponio to Rio Ponio,Runoff/Infiltration from R_Puni_EmbP to Estero Punitaqui,Runoff/Infiltration from R_Puni_EPun to Estero Punitaqui,Runoff/Infiltration from R_Puni_RGua to Estero Punitaqui,Runoff/Infiltration from R_Rapl to Rio Rapel
Apr 1 2001,0.0250817,0.0136341,0.0643608,0.00297873,0.00369943,0.00200876,0,0.00779778,0,0.000760306,0.00296232,0,0,0.0367533,0.0248199,0.0442928,0.000332776,0.00357256,0.0113988,0.046033,0.00943702,0.0854306,0.0933192,0.00755906,0.0238692,0.0229259,0.025028,0,0,0.151961,0,0.026418,0
May 1 2001,0.00374381,0.00146245,0.0350273,0.000392392,0.00158211,0.00115445,0.00369669,0.00100117,0,0.000110694,0.000636512,0.000467472,0.00118624,0.00856623,0.00609003,0.0128702,0.000230148,0.00109401,0.00235641,0.0190522,0.00398802,0.0146649,0.0181918,0.00317034,0.00632344,0.00585992,0.00406465,0.0013693,0,0.0275231,0.00827228,0.00967798,0.00421741
Jun 1 2001,0.0602728,0.0433007,0.353567,0.0137374,0.0422634,0.0513671,0.0186935,0.0256526,0,0.00480058,0.00645646,0.0149542,0.0196075,0.0887697,0.0739792,0.105383,0.00331813,0.0207167,0.0830175,0.0134409,0.00344056,0.332549,0.3249,0.0743916,0.0658455,0.21285,0.0751176,0.02101,0,0.845871,0.0692317,0.11839,0
Jul 1 2001,0.0261816,0.0213632,0.0180065,0.00415077,0.00936772,0.011875,0.00341437,0.00929233,0,0.00138132,0.0019267,0.00508677,0.00622725,0.0208855,0.0157303,0.0201429,0.000454863,0.0070689,0.0319528,0.0518318,0.0320893,0.0730502,0.0792183,0.0135013,0.00280316,0.0314274,0.0245887,0.0094409,0.000997404,0.246799,0.0180885,0.0422563,0.257045
Aug 1 2001,0.00486944,0.0101234,0.0506698,0.00045521,0.00184265,0.00203437,0.00198516,0.00156702,0,0.00013455,0.000262654,0.00103167,0.00107996,0.00576755,0.00471743,0.00876199,0.000158536,0.00205603,0.0111056,0.00641945,0.0040552,0.0216323,0.0228277,0.00328868,0.0082752,0.0173887,0.00395633,0.00317932,0.000282453,0.0349275,0.00389231,0.0103881,0.0474131
Sep 1 2001,0.0194467,0.00997773,0.0685415,0.0026283,0.00336967,0.00270307,0.00894229,0.00591577,0,0.00093313,0.00221167,0.0023571,0.0047199,0.0289074,0.0220034,0.0347632,0.000859873,0.00484134,0.0109642,0.0322666,0.00330825,0.0850401,0.0878319,0.00620606,0.0239093,0.0348312,0.0205853,0.00366468,0,0.162682,0.0216941,0.0261873,0.0255316
Oct 1 2001,0.0427577,0.0235956,0.0635752,0.00589475,0.00585817,0.00476317,0.0194027,0.0132086,0,0.0021644,0.00514701,0.00560268,0.0114493,0.0648481,0.0467839,0.0724079,0.00188205,0.00638917,0.0223506,0.0791225,0.0132271,0.158972,0.173826,0.0113919,0.0425978,0.058522,0.0474434,0.0082085,0.000203174,0.145968,0,0.0585727,0.0880348
Nov 1 2001,0.0721315,0.0400694,0.0624315,0.010525,0.00864586,0.00816101,0.0318347,0.0237443,0,0.0036653,0.0086959,0.00920054,0.0193217,0.109539,0.0615237,0.113478,0.0033717,0.0101956,0.0370635,0.136348,0.0210192,0.140066,0.183383,0.0157747,0.0517154,0.0887079,0.0804608,0.0136568,0.000340144,0.19293,0,0.0791745,0.148952
Dec 1 2001,0.0881542,0.0501983,0.0623326,0.0126951,0.00967484,0.00958727,0.0390855,0.0298424,0,0.00446871,0.0107574,0.0025924,0.0239083,0.134796,0.064413,0.121187,0.00380417,0.0124599,0.0450458,0.164199,0.0256644,0.130072,0.173302,0.0179295,0.0533132,0.0964932,0.0989365,0.00405089,9.65982E-05,0.216807,0,0.0837887,0.183218
Jan 1 2002,0.0860239,0.0278001,0.0622227,0.0121779,0.00955778,0.00898512,0.00115764,0.0290999,0,0.00418182,0.0104042,0,0.000695049,0.130295,0.0642517,0.119808,0.00299129,0.0121126,0.0432369,0.157051,0.0256785,0.132914,0.177738,0.0180453,0.0528609,0.0901898,0.0940025,0,0,0.211569,0,0.0822674,0.00540609
